file,bytes,overall,productive
AbstractAccessTask.java,3667,6891568,220563
AbstractAccessTask.java,3667,5964226,125400
AbstractAccessTask.java,3667,9359508,243885
AbstractAccessTask.java,3667,5127712,116450
AbstractAccessTask.java,3667,5891527,117195
AbstractAccessTask.java,3667,7786950,118760
AbstractAccessTask.java,3667,6289341,126736
AbstractAccessTask.java,3667,10887200,129500
AbstractAccessTask.java,3667,5977433,146980
AbstractAccessTask.java,3667,6014881,177758
AbstractAnalyzer.java,10167,10556493,215063
AbstractAnalyzer.java,10167,15447123,482730
AbstractAnalyzer.java,10167,14199696,356383
AbstractAnalyzer.java,10167,14206030,388590
AbstractAnalyzer.java,10167,17337104,466205
AbstractAnalyzer.java,10167,12105452,404843
AbstractAnalyzer.java,10167,12748570,712950
AbstractAnalyzer.java,10167,15392542,502970
AbstractAnalyzer.java,10167,15318207,386325
AbstractAnalyzer.java,10167,16721445,380557
AbstractClasspathResource.java,8619,15088473,369550
AbstractClasspathResource.java,8619,18137111,295807
AbstractClasspathResource.java,8619,25463376,391978
AbstractClasspathResource.java,8619,18114708,370750
AbstractClasspathResource.java,8619,20504432,408132
AbstractClasspathResource.java,8619,16894811,446975
AbstractClasspathResource.java,8619,19054250,418880
AbstractClasspathResource.java,8619,17619156,491872
AbstractClasspathResource.java,8619,23758958,498610
AbstractClasspathResource.java,8619,17274828,473725
AbstractCvsTask.java,25299,49729728,815113
AbstractCvsTask.java,25299,59194365,1355338
AbstractCvsTask.java,25299,49424854,822805
AbstractCvsTask.java,25299,44967207,910230
AbstractCvsTask.java,25299,53550728,779110
AbstractCvsTask.java,25299,47706641,845408
AbstractCvsTask.java,25299,51952687,1148537
AbstractCvsTask.java,25299,52049024,789293
AbstractCvsTask.java,25299,44961830,1121883
AbstractCvsTask.java,25299,51847792,796681
AbstractFileSet.java,29242,66662443,853850
AbstractFileSet.java,29242,52679455,1693240
AbstractFileSet.java,29242,48970626,913787
AbstractFileSet.java,29242,53282455,878320
AbstractFileSet.java,29242,63031815,1831450
AbstractFileSet.java,29242,55910253,870543
AbstractFileSet.java,29242,54469530,1500727
AbstractFileSet.java,29242,52227659,882025
AbstractFileSet.java,29242,54575422,976517
AbstractFileSet.java,29242,54441520,1043697
AbstractHotDeploymentTool.java,6575,7384586,167610
AbstractHotDeploymentTool.java,6575,8999152,237030
AbstractHotDeploymentTool.java,6575,7093119,196284
AbstractHotDeploymentTool.java,6575,9044477,651560
AbstractHotDeploymentTool.java,6575,7342107,233820
AbstractHotDeploymentTool.java,6575,9818879,231390
AbstractHotDeploymentTool.java,6575,8387914,434708
AbstractHotDeploymentTool.java,6575,9260690,241450
AbstractHotDeploymentTool.java,6575,8820599,231172
AbstractHotDeploymentTool.java,6575,7800040,259463
AbstractJarSignerTask.java,11947,20604830,377743
AbstractJarSignerTask.java,11947,20429709,539452
AbstractJarSignerTask.java,11947,23611668,265452
AbstractJarSignerTask.java,11947,24779183,476103
AbstractJarSignerTask.java,11947,24361026,431462
AbstractJarSignerTask.java,11947,21912540,374985
AbstractJarSignerTask.java,11947,23604413,439271
AbstractJarSignerTask.java,11947,24643561,516975
AbstractJarSignerTask.java,11947,26417258,375508
AbstractJarSignerTask.java,11947,25937591,625658
AbstractResourceCollectionWrapper.java,6516,12151026,333980
AbstractResourceCollectionWrapper.java,6516,13341038,372373
AbstractResourceCollectionWrapper.java,6516,20094495,439976
AbstractResourceCollectionWrapper.java,6516,13098227,294540
AbstractResourceCollectionWrapper.java,6516,14656498,390487
AbstractResourceCollectionWrapper.java,6516,13584756,388663
AbstractResourceCollectionWrapper.java,6516,15451150,443025
AbstractResourceCollectionWrapper.java,6516,14356070,243490
AbstractResourceCollectionWrapper.java,6516,13862722,242367
AbstractResourceCollectionWrapper.java,6516,14318149,341700
AbstractScriptComponent.java,4451,8635560,146760
AbstractScriptComponent.java,4451,7566198,144655
AbstractScriptComponent.java,4451,6839053,144152
AbstractScriptComponent.java,4451,7846461,196250
AbstractScriptComponent.java,4451,8545621,198787
AbstractScriptComponent.java,4451,6847666,217387
AbstractScriptComponent.java,4451,8658373,196308
AbstractScriptComponent.java,4451,7697599,200658
AbstractScriptComponent.java,4451,8518222,149937
AbstractScriptComponent.java,4451,7415592,161840
AbstractSelectorContainer.java,10393,19856795,355570
AbstractSelectorContainer.java,10393,18821621,418725
AbstractSelectorContainer.java,10393,25108071,634975
AbstractSelectorContainer.java,10393,21117317,420750
AbstractSelectorContainer.java,10393,20791601,504705
AbstractSelectorContainer.java,10393,24661893,339952
AbstractSelectorContainer.java,10393,15658619,315076
AbstractSelectorContainer.java,10393,19310739,433695
AbstractSelectorContainer.java,10393,20283406,588668
AbstractSelectorContainer.java,10393,1793615300,418272
AbstractSshMessage.java,8574,16697032,353333
AbstractSshMessage.java,8574,22729405,366093
AbstractSshMessage.java,8574,19251041,400458
AbstractSshMessage.java,8574,17405560,355655
AbstractSshMessage.java,8574,19996260,498725
AbstractSshMessage.java,8574,18795358,391885
AbstractSshMessage.java,8574,18719863,697568
AbstractSshMessage.java,8574,14954919,470278
AbstractSshMessage.java,8574,16833930,401835
AbstractSshMessage.java,8574,17614747,344440
AbstractUnicodeExtraField.java,5668,15716930,225818
AbstractUnicodeExtraField.java,5668,13266029,230007
AbstractUnicodeExtraField.java,5668,19345945,353543
AbstractUnicodeExtraField.java,5668,15932999,226785
AbstractUnicodeExtraField.java,5668,12732270,226043
AbstractUnicodeExtraField.java,5668,13133285,311765
AbstractUnicodeExtraField.java,5668,13115266,551872
AbstractUnicodeExtraField.java,5668,13370665,321920
AbstractUnicodeExtraField.java,5668,13572523,229170
AbstractUnicodeExtraField.java,5668,13768665,329135
AggregateTransformer.java,11471,23730807,602423
AggregateTransformer.java,11471,23966055,377990
AggregateTransformer.java,11471,22502818,267612
AggregateTransformer.java,11471,29688793,533710
AggregateTransformer.java,11471,23997997,648518
AggregateTransformer.java,11471,21569047,421585
AggregateTransformer.java,11471,22853942,380392
AggregateTransformer.java,11471,21406069,376550
AggregateTransformer.java,11471,22313404,458368
AggregateTransformer.java,11471,23878576,918620
Algorithm.java,1557,2676833,51948
Algorithm.java,1557,1862750,41602
Algorithm.java,1557,2845902,72892
Algorithm.java,1557,2629720,73353
Algorithm.java,1557,3501633,70538
Algorithm.java,1557,2431527,66757
Algorithm.java,1557,3188280,75525
Algorithm.java,1557,2454760,52870
Algorithm.java,1557,2316473,67750
Algorithm.java,1557,2474588,54878
AllButFirst.java,2038,6291547,161715
AllButFirst.java,2038,6127947,132443
AllButFirst.java,2038,6035885,133640
AllButFirst.java,2038,6076268,129325
AllButFirst.java,2038,5820710,100573
AllButFirst.java,2038,7649624,131857
AllButFirst.java,2038,5224517,143047
AllButFirst.java,2038,5367555,181432
AllButFirst.java,2038,7625148,129612
