file,bytes,overall,productive
AbstractAccessTask.java,3667,8132502,1174500
AbstractAccessTask.java,3667,4411826,965402
AbstractAccessTask.java,3667,10018549,1362839
AbstractAccessTask.java,3667,5752130,1106572
AbstractAccessTask.java,3667,3377421,815897
AbstractAccessTask.java,3667,5888701,958686
AbstractAccessTask.java,3667,6384257,806393
AbstractAccessTask.java,3667,9398975,1951775
AbstractAccessTask.java,3667,4324331,954475
AbstractAccessTask.java,3667,5824347,761272
AbstractAnalyzer.java,10167,9292062,2184500
AbstractAnalyzer.java,10167,15755605,4148229
AbstractAnalyzer.java,10167,10340420,2568010
AbstractAnalyzer.java,10167,8582728,2477032
AbstractAnalyzer.java,10167,14057005,2554654
AbstractAnalyzer.java,10167,12287948,2673172
AbstractAnalyzer.java,10167,8691455,2598925
AbstractAnalyzer.java,10167,8642725,2613869
AbstractAnalyzer.java,10167,13526840,2159706
AbstractAnalyzer.java,10167,8541175,2582998
AbstractClasspathResource.java,8619,11557622,3102510
AbstractClasspathResource.java,8619,9470107,2980268
AbstractClasspathResource.java,8619,9131960,2820103
AbstractClasspathResource.java,8619,21649066,5740235
AbstractClasspathResource.java,8619,12583111,3126246
AbstractClasspathResource.java,8619,10415568,3125308
AbstractClasspathResource.java,8619,18338130,2804773
AbstractClasspathResource.java,8619,15970680,2546826
AbstractClasspathResource.java,8619,10754411,3159143
AbstractClasspathResource.java,8619,8593158,2554692
AbstractCvsTask.java,25299,23169460,6763296
AbstractCvsTask.java,25299,22438381,4918233
AbstractCvsTask.java,25299,34695082,9402610
AbstractCvsTask.java,25299,52027374,8822458
AbstractCvsTask.java,25299,1840369584,7482205
AbstractCvsTask.java,25299,25718801,6479513
AbstractCvsTask.java,25299,20196260,6832454
AbstractCvsTask.java,25299,21469700,4376531
AbstractCvsTask.java,25299,16961212,4601984
AbstractCvsTask.java,25299,41590949,8333612
AbstractFileSet.java,29242,23161511,6013105
AbstractFileSet.java,29242,18053428,4924116
AbstractFileSet.java,29242,23031652,4813577
AbstractFileSet.java,29242,19300630,4746384
AbstractFileSet.java,29242,28301284,5612328
AbstractFileSet.java,29242,32190777,8037675
AbstractFileSet.java,29242,29641634,8646996
AbstractFileSet.java,29242,28415876,5762372
AbstractFileSet.java,29242,31188220,10837735
AbstractFileSet.java,29242,40803412,9267718
AbstractHotDeploymentTool.java,6575,8871108,2728695
AbstractHotDeploymentTool.java,6575,8166885,1403970
AbstractHotDeploymentTool.java,6575,8981976,1411725
AbstractHotDeploymentTool.java,6575,7571208,1494397
AbstractHotDeploymentTool.java,6575,7759023,1629080
AbstractHotDeploymentTool.java,6575,7543177,931426
AbstractHotDeploymentTool.java,6575,7803791,1460865
AbstractHotDeploymentTool.java,6575,7654775,1462128
AbstractHotDeploymentTool.java,6575,9669119,1266176
AbstractHotDeploymentTool.java,6575,7916446,1480683
AbstractJarSignerTask.java,11947,12986136,4287833
AbstractJarSignerTask.java,11947,11103805,3290285
AbstractJarSignerTask.java,11947,11107682,3291917
AbstractJarSignerTask.java,11947,9812095,2583198
AbstractJarSignerTask.java,11947,23508190,4719142
AbstractJarSignerTask.java,11947,13639884,4532681
AbstractJarSignerTask.java,11947,22545447,6529652
AbstractJarSignerTask.java,11947,19431555,4556931
AbstractJarSignerTask.java,11947,12732727,4162572
AbstractJarSignerTask.java,11947,14021792,4005859
AbstractResourceCollectionWrapper.java,6516,7492505,1925498
AbstractResourceCollectionWrapper.java,6516,8070039,2660304
AbstractResourceCollectionWrapper.java,6516,14115414,2833832
AbstractResourceCollectionWrapper.java,6516,7481486,1852649
AbstractResourceCollectionWrapper.java,6516,8004520,2741674
AbstractResourceCollectionWrapper.java,6516,7043632,1348501
AbstractResourceCollectionWrapper.java,6516,5773316,1341423
AbstractResourceCollectionWrapper.java,6516,6924142,1854385
AbstractResourceCollectionWrapper.java,6516,6451737,1598856
AbstractResourceCollectionWrapper.java,6516,6961330,1852413
AbstractScriptComponent.java,4451,8051582,1274020
AbstractScriptComponent.java,4451,9464319,2039265
AbstractScriptComponent.java,4451,5415147,1401270
AbstractScriptComponent.java,4451,7606908,1618800
AbstractScriptComponent.java,4451,5112732,1174960
AbstractScriptComponent.java,4451,9100378,1992177
AbstractScriptComponent.java,4451,6783202,1210865
AbstractScriptComponent.java,4451,7717238,1469868
AbstractScriptComponent.java,4451,5312900,1181477
AbstractScriptComponent.java,4451,7967682,1245400
AbstractSelectorContainer.java,10393,12492531,4528860
AbstractSelectorContainer.java,10393,9619043,2840407
AbstractSelectorContainer.java,10393,7809921,2096905
AbstractSelectorContainer.java,10393,18191379,2780950
AbstractSelectorContainer.java,10393,9416388,2816017
AbstractSelectorContainer.java,10393,9321570,2855675
AbstractSelectorContainer.java,10393,17216213,4339890
AbstractSelectorContainer.java,10393,18024300,3361930
AbstractSelectorContainer.java,10393,9336051,2897043
AbstractSelectorContainer.java,10393,10027015,2767223
AbstractSshMessage.java,8574,9474823,2855461
AbstractSshMessage.java,8574,9028930,2847172
AbstractSshMessage.java,8574,29853749,6279612
AbstractSshMessage.java,8574,20640098,3911098
AbstractSshMessage.java,8574,21297447,2778329
AbstractSshMessage.java,8574,9712450,2065360
AbstractSshMessage.java,8574,14376614,2726690
AbstractSshMessage.java,8574,10255428,3681398
AbstractSshMessage.java,8574,9246210,2816882
AbstractSshMessage.java,8574,10018573,2862503
AbstractUnicodeExtraField.java,5668,12691462,2198776
AbstractUnicodeExtraField.java,5668,7113071,1987245
AbstractUnicodeExtraField.java,5668,7796858,2576341
AbstractUnicodeExtraField.java,5668,9261488,2659036
AbstractUnicodeExtraField.java,5668,11267865,1548581
AbstractUnicodeExtraField.java,5668,7642327,1427653
AbstractUnicodeExtraField.java,5668,7374913,2005608
AbstractUnicodeExtraField.java,5668,6933508,1961195
AbstractUnicodeExtraField.java,5668,7229168,2212757
AbstractUnicodeExtraField.java,5668,7111603,2011015
AggregateTransformer.java,11471,11539960,3435204
AggregateTransformer.java,11471,11112407,3339596
AggregateTransformer.java,11471,11436243,3313861
AggregateTransformer.java,11471,10259115,3505632
AggregateTransformer.java,11471,21720755,4680872
AggregateTransformer.java,11471,13542935,3282147
AggregateTransformer.java,11471,12201122,4483056
AggregateTransformer.java,11471,10864028,3306624
AggregateTransformer.java,11471,10784589,3297147
AggregateTransformer.java,11471,13157520,3121212
Algorithm.java,1557,3133755,481732
Algorithm.java,1557,3100400,403158
Algorithm.java,1557,3032480,520208
Algorithm.java,1557,4503839,390150
Algorithm.java,1557,3036865,356095
Algorithm.java,1557,3511338,538478
Algorithm.java,1557,2871420,506062
Algorithm.java,1557,3091285,480247
Algorithm.java,1557,2947603,485240
Algorithm.java,1557,2947132,617615
AllButFirst.java,2038,5909665,936625
AllButFirst.java,2038,5708179,894480
AllButFirst.java,2038,6961107,869385
AllButFirst.java,2038,6096647,1120902
AllButFirst.java,2038,5461244,735228
AllButFirst.java,2038,5320667,1209437
AllButFirst.java,2038,3959335,788095
AllButFirst.java,2038,3778875,763473
AllButFirst.java,2038,5560763,882843
AllButFirst.java,2038,43601109,683817
AllButLast.java,1935,6082977,1306843
AllButLast.java,1935,4869420,947407
AllButLast.java,1935,3740117,861300
AllButLast.java,1935,8353909,1080591
AllButLast.java,1935,4625188,1229562
AllButLast.java,1935,3479005,713620
AllButLast.java,1935,5004648,944450
AllButLast.java,1935,3379053,646725
AllButLast.java,1935,3484830,659648
AllButLast.java,1935,3579245,666483
AncestorAnalyzer.java,5381,8911618,1862620
AncestorAnalyzer.java,5381,7565573,2030393
AncestorAnalyzer.java,5381,7276050,2081100
AncestorAnalyzer.java,5381,13733942,2899726
AncestorAnalyzer.java,5381,12881628,2702618
AncestorAnalyzer.java,5381,7096657,2087143
AncestorAnalyzer.java,5381,7290032,1967702
AncestorAnalyzer.java,5381,12458410,2690817
AncestorAnalyzer.java,5381,8554684,3056669
AncestorAnalyzer.java,5381,6493050,1962745
And.java,1710,3135895,598373
And.java,1710,7354976,635547
And.java,1710,2460985,559088
And.java,1710,5765104,814531
And.java,1710,3050357,563095
And.java,1710,3813809,636297
And.java,1710,3396763,559649
And.java,1710,4995425,934374
And.java,1710,2400397,368548
And.java,1710,2249801,500905
AndSelector.java,2311,2824730,684963
AndSelector.java,2311,2728502,760670
AndSelector.java,2311,2925902,686727
AndSelector.java,2311,9407425,946431
AndSelector.java,2311,2707476,632322
AndSelector.java,2311,4123437,621163
AndSelector.java,2311,4060180,732353
AndSelector.java,2311,4197695,577491
AndSelector.java,2311,5162879,912545
AndSelector.java,2311,5605439,994072
AnsiColorLogger.java,8258,14735194,2468182
AnsiColorLogger.java,8258,8333090,2416580
AnsiColorLogger.java,8258,11583585,1971522
AnsiColorLogger.java,8258,8149891,2698657
AnsiColorLogger.java,8258,16277339,2721334
AnsiColorLogger.java,8258,8803826,2429166
AnsiColorLogger.java,8258,13869220,2524179
AnsiColorLogger.java,8258,8240354,2473960
AnsiColorLogger.java,8258,16194672,2638706
AnsiColorLogger.java,8258,13316391,2428600
Ant.java,28208,20948890,5947241
Ant.java,28208,19804307,4914841
Ant.java,28208,23212745,6447243
Ant.java,28208,23041518,5518820
Ant.java,28208,23339663,4677409
Ant.java,28208,18794985,4847985
Ant.java,28208,19009330,5065572
Ant.java,28208,20045455,4948518
Ant.java,28208,46353901,7330744
Ant.java,28208,22790106,7853058
AntAnalyzer.java,5402,12507855,2288415
AntAnalyzer.java,5402,8075342,2133855
