file,bytes,overall,productive
AbstractAccessTask.java,3667,8892193,1512913
AbstractAccessTask.java,3667,8632413,1786213
AbstractAccessTask.java,3667,13323898,2287005
AbstractAccessTask.java,3667,8427181,1416240
AbstractAccessTask.java,3667,9016994,1987118
AbstractAccessTask.java,3667,8014081,1399035
AbstractAccessTask.java,3667,8205250,1824760
AbstractAccessTask.java,3667,8686688,1320632
AbstractAccessTask.java,3667,7133108,1201981
AbstractAccessTask.java,3667,9709488,2299163
AbstractAnalyzer.java,10167,15292189,3300493
AbstractAnalyzer.java,10167,15445220,3612644
AbstractAnalyzer.java,10167,21814916,4216519
AbstractAnalyzer.java,10167,24017073,3298554
AbstractAnalyzer.java,10167,15945109,3458107
AbstractAnalyzer.java,10167,14480820,3117934
AbstractAnalyzer.java,10167,14665292,3545542
AbstractAnalyzer.java,10167,19456171,3716153
AbstractAnalyzer.java,10167,18755388,3660634
AbstractAnalyzer.java,10167,16456870,3336337
AbstractClasspathResource.java,8619,16819305,3428702
AbstractClasspathResource.java,8619,19248996,3221969
AbstractClasspathResource.java,8619,21861055,3617186
AbstractClasspathResource.java,8619,23488746,4674654
AbstractClasspathResource.java,8619,18762487,3149860
AbstractClasspathResource.java,8619,16700773,3518309
AbstractClasspathResource.java,8619,16589187,3452754
AbstractClasspathResource.java,8619,16325082,2955620
AbstractClasspathResource.java,8619,18688429,3423257
AbstractClasspathResource.java,8619,1733779072,2661076
AbstractCvsTask.java,25299,41322970,8007797
AbstractCvsTask.java,25299,58476338,11605738
AbstractCvsTask.java,25299,54258790,9539996
AbstractCvsTask.java,25299,49666491,10776445
AbstractCvsTask.java,25299,48552692,8734777
AbstractCvsTask.java,25299,52944829,11223668
AbstractCvsTask.java,25299,45457644,7806386
AbstractCvsTask.java,25299,44358989,8845732
AbstractCvsTask.java,25299,47031985,9193885
AbstractCvsTask.java,25299,47021499,9480091
AbstractFileSet.java,29242,49493676,9415242
AbstractFileSet.java,29242,68996440,10487292
AbstractFileSet.java,29242,52719138,9313662
AbstractFileSet.java,29242,48351180,8754919
AbstractFileSet.java,29242,61348544,12456269
AbstractFileSet.java,29242,50558853,11138992
AbstractFileSet.java,29242,49761548,8549786
AbstractFileSet.java,29242,52487754,8626329
AbstractFileSet.java,29242,58481433,12650820
AbstractFileSet.java,29242,48007117,8812691
AbstractHotDeploymentTool.java,6575,11366107,2824520
AbstractHotDeploymentTool.java,6575,12925225,2110510
AbstractHotDeploymentTool.java,6575,11182592,2147813
AbstractHotDeploymentTool.java,6575,9849865,1924617
AbstractHotDeploymentTool.java,6575,9910029,1749013
AbstractHotDeploymentTool.java,6575,10155831,1851672
AbstractHotDeploymentTool.java,6575,14480432,2145882
AbstractHotDeploymentTool.java,6575,11061759,1974658
AbstractHotDeploymentTool.java,6575,10219391,1937473
AbstractHotDeploymentTool.java,6575,10875676,2719134
AbstractJarSignerTask.java,11947,23153330,4578734
AbstractJarSignerTask.java,11947,20774532,4223784
AbstractJarSignerTask.java,11947,23687247,4562231
AbstractJarSignerTask.java,11947,23531110,4185473
AbstractJarSignerTask.java,11947,20923838,4396258
AbstractJarSignerTask.java,11947,20788243,4916136
AbstractJarSignerTask.java,11947,25090849,5446871
AbstractJarSignerTask.java,11947,23776765,4278962
AbstractJarSignerTask.java,11947,21675717,4231587
AbstractJarSignerTask.java,11947,24230775,5853009
AbstractResourceCollectionWrapper.java,6516,16761612,3349711
AbstractResourceCollectionWrapper.java,6516,13321320,2524940
AbstractResourceCollectionWrapper.java,6516,24353073,3457951
AbstractResourceCollectionWrapper.java,6516,16069029,3171188
AbstractResourceCollectionWrapper.java,6516,14161968,2715313
AbstractResourceCollectionWrapper.java,6516,21185175,3779047
AbstractResourceCollectionWrapper.java,6516,15126198,2258845
AbstractResourceCollectionWrapper.java,6516,12867952,2438537
AbstractResourceCollectionWrapper.java,6516,16163613,1918951
AbstractResourceCollectionWrapper.java,6516,14308290,3183747
AbstractScriptComponent.java,4451,10420162,1792790
AbstractScriptComponent.java,4451,9631621,1828736
AbstractScriptComponent.java,4451,8109792,1444986
AbstractScriptComponent.java,4451,9965774,1654242
AbstractScriptComponent.java,4451,8464309,1546200
AbstractScriptComponent.java,4451,11717199,1985062
AbstractScriptComponent.java,4451,12552155,2513558
AbstractScriptComponent.java,4451,8026032,1528028
AbstractScriptComponent.java,4451,10095454,1696823
AbstractScriptComponent.java,4451,9359074,1532435
AbstractSelectorContainer.java,10393,23444741,5721372
AbstractSelectorContainer.java,10393,18411833,3032242
AbstractSelectorContainer.java,10393,21034830,4702793
AbstractSelectorContainer.java,10393,17935561,3536045
AbstractSelectorContainer.java,10393,17665716,3911413
AbstractSelectorContainer.java,10393,17962164,3374827
AbstractSelectorContainer.java,10393,23697519,3849329
AbstractSelectorContainer.java,10393,18923560,3617455
AbstractSelectorContainer.java,10393,18270463,3785169
AbstractSelectorContainer.java,10393,18051058,3676338
AbstractSshMessage.java,8574,18032092,3804071
AbstractSshMessage.java,8574,20838972,4355840
AbstractSshMessage.java,8574,19530471,2831804
AbstractSshMessage.java,8574,17799313,3651857
AbstractSshMessage.java,8574,19265685,4045832
AbstractSshMessage.java,8574,20288875,3915122
AbstractSshMessage.java,8574,17473412,3925682
AbstractSshMessage.java,8574,20625490,5585309
AbstractSshMessage.java,8574,18136345,3622279
AbstractSshMessage.java,8574,17164390,3670554
AbstractUnicodeExtraField.java,5668,12817887,2557557
AbstractUnicodeExtraField.java,5668,13964657,3514605
AbstractUnicodeExtraField.java,5668,22092353,4333370
AbstractUnicodeExtraField.java,5668,13561080,2892627
AbstractUnicodeExtraField.java,5668,12279111,2092032
AbstractUnicodeExtraField.java,5668,16390220,2862624
AbstractUnicodeExtraField.java,5668,13288999,2115826
AbstractUnicodeExtraField.java,5668,13239120,2630675
AbstractUnicodeExtraField.java,5668,14185162,3517420
AbstractUnicodeExtraField.java,5668,14879206,2591931
AggregateTransformer.java,11471,20957230,4671419
AggregateTransformer.java,11471,21196217,4371519
AggregateTransformer.java,11471,23447303,4658638
AggregateTransformer.java,11471,23947821,4330405
AggregateTransformer.java,11471,23142403,4467535
AggregateTransformer.java,11471,28740326,5619634
AggregateTransformer.java,11471,23605598,4622098
AggregateTransformer.java,11471,21452583,4382787
AggregateTransformer.java,11471,21352252,4309101
AggregateTransformer.java,11471,21133452,3937797
Algorithm.java,1557,5675690,1031183
Algorithm.java,1557,4137853,600510
Algorithm.java,1557,4770881,994784
Algorithm.java,1557,4360026,727955
Algorithm.java,1557,4487787,713255
Algorithm.java,1557,4008480,612782
Algorithm.java,1557,4477380,531149
Algorithm.java,1557,4845980,474850
Algorithm.java,1557,4542030,668133
Algorithm.java,1557,4142442,515870
AllButFirst.java,2038,8364806,1127131
AllButFirst.java,2038,7073979,1118185
AllButFirst.java,2038,8037235,1306657
AllButFirst.java,2038,10372390,1109831
AllButFirst.java,2038,7102626,1163730
AllButFirst.java,2038,7807395,1149870
AllButFirst.java,2038,7113750,1364988
AllButFirst.java,2038,5982805,962578
AllButFirst.java,2038,7533233,1401279
AllButFirst.java,2038,6358002,969635
AllButLast.java,1935,6511820,1042789
AllButLast.java,1935,6615209,982487
AllButLast.java,1935,7550409,786813
AllButLast.java,1935,7803815,887375
AllButLast.java,1935,7262528,1153289
AllButLast.java,1935,6926259,830775
AllButLast.java,1935,7515307,1059292
AllButLast.java,1935,6665098,1005075
AllButLast.java,1935,7315845,1660757
AllButLast.java,1935,6630226,984290
AncestorAnalyzer.java,5381,12723842,2533233
AncestorAnalyzer.java,5381,13295977,3677199
AncestorAnalyzer.java,5381,20533897,2947931
AncestorAnalyzer.java,5381,14228149,2912300
AncestorAnalyzer.java,5381,15851453,2675151
AncestorAnalyzer.java,5381,13783615,2444131
AncestorAnalyzer.java,5381,13925647,2518108
AncestorAnalyzer.java,5381,11596323,1870672
AncestorAnalyzer.java,5381,12606660,2515787
AncestorAnalyzer.java,5381,15458360,5604701
And.java,1710,3806990,755038
And.java,1710,3508225,737877
And.java,1710,3850942,830689
And.java,1710,9520013,993229
And.java,1710,3661081,743106
And.java,1710,3386527,733820
And.java,1710,3890992,746941
And.java,1710,5169369,839987
And.java,1710,3234098,699580
And.java,1710,3280184,702157
AndSelector.java,2311,4832552,870659
AndSelector.java,2311,4130349,853763
AndSelector.java,2311,4125164,843613
AndSelector.java,2311,11195574,1400736
AndSelector.java,2311,4847510,851363
AndSelector.java,2311,6403850,1180412
AndSelector.java,2311,10204417,1238396
AndSelector.java,2311,6370323,844428
AndSelector.java,2311,5290871,876949
AndSelector.java,2311,6393173,1093181
AnsiColorLogger.java,8258,15990264,3078467
AnsiColorLogger.java,8258,12108067,2538947
AnsiColorLogger.java,8258,21680450,3257205
AnsiColorLogger.java,8258,17678175,3474672
AnsiColorLogger.java,8258,25681205,5524665
AnsiColorLogger.java,8258,20451195,2966081
AnsiColorLogger.java,8258,14255779,2348026
AnsiColorLogger.java,8258,25091817,3406508
AnsiColorLogger.java,8258,17724435,3476704
AnsiColorLogger.java,8258,18391527,2918192
Ant.java,28208,51028610,10924355
Ant.java,28208,57438587,9164517
Ant.java,28208,49064996,10284579
Ant.java,28208,52401390,8271600
Ant.java,28208,55269096,14270450
Ant.java,28208,47166386,9598699
Ant.java,28208,47014793,8211031
Ant.java,28208,54888877,12179265
Ant.java,28208,52188630,9493654
Ant.java,28208,47566444,8919476
AntAnalyzer.java,5402,13307720,2528929
AntAnalyzer.java,5402,15805261,4304692
AntAnalyzer.java,5402,18169904,2904430
AntAnalyzer.java,5402,13348970,2432039
AntAnalyzer.java,5402,16030604,3013591
AntAnalyzer.java,5402,17411142,3837644
AntAnalyzer.java,5402,12852111,2526153
AntAnalyzer.java,5402,13154824,2736664
AntAnalyzer.java,5402,13998631,2986489
AntAnalyzer.java,5402,14061012,2546368
AntClassLoader.java,60388,77966524,15147466
AntClassLoader.java,60388,91481036,17886379
AntClassLoader.java,60388,104277140,27132699
AntClassLoader.java,60388,92719303,17072305
AntClassLoader.java,60388,80503900,15820925
AntClassLoader.java,60388,88825034,17878410
AntClassLoader.java,60388,87383057,14297498
AntClassLoader.java,60388,87603190,16440597
AntClassLoader.java,60388,87404762,25517256
AntClassLoader.java,60388,83034973,15138635
AntClassLoader2.java,1114,3973243,530198
AntClassLoader2.java,1114,3877455,403195
AntClassLoader2.java,1114,3745244,521463
AntClassLoader2.java,1114,5447935,564760
AntClassLoader2.java,1114,3885077,400512
AntClassLoader2.java,1114,4521532,535631
AntClassLoader2.java,1114,3545038,401712
AntClassLoader2.java,1114,4207434,431820
AntClassLoader2.java,1114,5770684,573005
AntClassLoader2.java,1114,5622762,610729
AntClassLoader5.java,2219,4636022,706654
AntClassLoader5.java,2219,6039850,1125858
AntClassLoader5.java,2219,5296758,996814
